target,ra,dec
1,0.197,-7.15485
3,0.610106004099578,3.35190851253775
4,0.87502,27.66139
6,1.57061,20.20156
7,2.2944,-0.61258
8,2.62459,10.9781
10,5.281495440981,-19.1676555616553
16,7.3071,13.26778
20,8.63284,-4.40934
25,10.22717,24.74974
28,10.7256,-23.5381
29,10.84556,30.33106
30,10.71212,30.2772
33,12.18598,31.96597
34,12.91013,29.4845
36,12.9732,17.42183
39,13.7179,25.44084
43,14.98603,31.82532
45,15.26475,-3.14843
53,16.66351,6.63888
59,18.41641,25.2895
64,19.09452,31.04603
71,20.76964,34.37146
74,21.13303,33.77444
75,21.59972,35.1152
76,21.52288,15.37867
77,21.90075,19.17132
85,23.74844,-4.5303
88,24.62179,29.4525
96,28.19734,-3.46896
98,28.85413,2.51738
101,30.15075,24.46975
102,30.27038,-6.82952
103,30.6552,68.34314
104,30.60667,68.40618
106,31.56939,-0.269
107,31.7573,29.50162
112,32.36859,-10.1419
116,33.693,-0.78455
120,34.40628,73.80969
122,35.6024,25.14896
123,35.86867,45.8139
128,36.76035,23.75245
129,37.05209,31.33115
130,37.50145,-9.04275
132,38.18817,20.27099
134,38.64939,-8.79886
140,40.28999,-8.22462
