target,ra,dec
1,0.2032337,-7.1532227
2,0.4420348,-76.953963
3,0.610105,3.3519118
4,0.8642482,27.6547253
5,1.0082414,70.3217522
6,1.5814004,20.2029512
7,2.2983352,-0.6152216
8,2.6291746,10.9748617
9,4.2854197,81.585596
10,5.2814076,-19.168191
13,6.3850302,68.3624394
14,6.6694697,-53.163275
16,7.3070965,13.267761
17,7.6826262,-59.007215
18,8.3264422,61.4620153
19,8.5700402,-79.088963
20,8.636619,-4.4034229
21,8.9693118,59.8345373
22,9.0872635,45.6648997
24,9.6338116,23.6134076
25,10.1661783,24.7609374
28,10.7200423,-23.541046
29,10.7578514,30.2887771
30,10.6662872,30.2976209
31,10.7865818,-11.601037
32,11.5861961,-40.097039
33,12.1964231,31.9569703
34,12.8959113,29.4012876
36,12.9781786,17.4329205
37,13.015854,-27.396923
39,13.7171686,25.427508
42,14.3035108,63.9952504
43,14.9720011,31.8270228
44,15.1456808,-47.867721
45,15.3516234,-3.1444828
48,15.8904897,-64.652116
49,16.3617325,-42.216216
50,16.4083363,-47.071687
51,16.4116637,-14.270439
52,16.4445786,-34.528966
53,16.6886002,6.6338489
54,16.9075638,-11.666117
55,16.9151809,-11.653119
57,17.2203085,13.3373168
58,17.8651625,-38.083459
59,18.3445605,25.3147963
60,18.462671,13.2717505
61,18.4586759,-14.845654
62,18.5292124,-32.650883
63,18.6039118,-55.397048
64,19.0616678,31.0338419
65,19.1297888,-12.604714
69,20.4646356,-28.349368
70,20.6433963,50.0549783
71,20.7859782,34.3467826
72,20.9765475,-35.065445
73,20.9407192,-58.805775
74,21.1116658,33.799487
75,21.4830788,35.176913
76,21.4919297,15.3037975
77,21.8854896,19.1788337
78,22.0280068,-18.808629
79,22.1018382,16.4593292
80,22.2818629,-60.645036
81,22.4632342,-42.326454
82,22.5887222,-46.029149
83,22.9600122,-33.11929
84,23.4903535,-36.493219
85,23.690138,-4.5036554
86,24.1358277,39.0997756
87,24.6548345,-40.011438
88,24.8500212,29.4019643
89,25.1116719,-53.327614
90,25.4906996,39.391449
92,27.2487096,21.7594329
93,27.353505,21.9973509
94,27.3426785,-50.252056
95,27.9244134,-36.187829
96,28.2043279,-3.446844
97,28.6679935,-27.117034
98,28.8539726,2.4712572
99,29.2956399,47.2664508
101,30.0793962,24.4738372
102,30.2769167,-6.8158862
103,30.5723165,68.3626549
104,30.384773,68.4060751
105,30.7539409,-24.036751
106,31.5666194,-0.2914554
107,31.7591853,29.5127814
110,31.9649507,44.8439997
111,32.1456037,-17.659656
112,32.3368516,-10.133077
113,32.4058661,52.4443457
114,32.718895,-49.698523
115,33.5747538,51.747763
116,33.6398451,-0.7667201
117,33.655843,-64.5014
118,33.9059265,-12.99174
119,34.1116052,51.4235729
120,34.3784913,73.8257243
121,35.5263788,52.3516455
122,35.6467456,25.1374468
123,35.8878154,45.8211765
124,36.2617486,-23.213451
125,36.2694267,18.7801554
126,36.2875824,-63.223985
127,36.6071557,-28.349681
128,36.7275161,23.7996621
129,37.0603048,31.3115385
130,37.5230272,-8.9981209
131,37.9624064,-36.672124
132,38.2024999,20.2881295
133,38.5837874,32.5057187
134,38.6576352,-8.7877916
135,38.8060701,-29.604787
136,39.5821531,-52.192308
137,39.6796489,-61.289551
138,39.7040792,-40.643902
140,40.2700061,-8.2557579
141,40.3953004,7.1871611
142,40.5159153,5.1683819
143,40.5609879,5.5099865
144,40.6696,-0.0132865
145,41.0124898,53.4745149
146,41.1988416,-24.513846
147,41.2403957,62.4684768
148,41.3061407,10.7896717
149,42.2472632,26.5110089
150,42.6132932,46.7914752
151,42.6773797,54.7048487
152,42.668669,41.6716011
153,42.9185624,-16.650642
154,42.8825517,-68.051577
155,43.1417238,43.1674413
156,43.0975085,-8.5103004
157,43.8007801,-0.18372
159,44.0897294,-32.185629
161,44.9063656,44.2883253
162,45.0179912,-10.824606
163,45.9545984,-1.1037141
164,46.8972713,-72.834044
165,47.0451415,-22.960234
166,47.6848859,32.658076
167,47.8283651,-20.771699
168,47.9802135,-76.864109
169,48.0123804,50.4873892
170,48.2581728,41.3336849
171,49.2590295,1.2550112
172,49.5795565,68.4922102
173,49.9506711,41.5117309
174,51.1714997,34.179396
175,51.2594836,-41.904887
176,51.3039697,40.6980184
178,51.3480461,-56.595725
179,52.152142,-28.698871
180,52.7174101,5.6404204
182,52.8459867,-5.1416815
183,53.3282645,37.3030964
184,53.4016964,-36.140186
185,53.6020373,-15.227707
187,53.844059,19.1246913
188,54.1254742,32.3081458
189,55.5154676,-21.24431
190,56.3022006,-39.574805
191,56.7727202,-30.397479
192,57.3466226,-11.990914
193,57.5957829,-50.302613
194,57.9237453,-40.466465
195,58.2395091,-68.521406
196,58.4269629,37.2354564
197,58.5394343,2.825173
199,59.0831863,-62.86089
200,59.2355263,-40.696078
201,59.4380571,41.9181173
202,59.8354003,-30.20269
203,59.7867976,-30.302943
204,59.8739231,50.9639641
205,60.6070054,-18.04758
206,60.9739541,-36.083861
207,61.2570879,-37.187575
208,61.3916785,-13.137132
209,61.8186282,3.707181
210,63.3430189,16.9975211
212,63.4180893,11.2041342
213,63.7194237,-7.9276956
214,64.5886425,38.0266014
216,65.0016418,-54.937944
217,65.6002592,-56.225634
218,65.9198498,4.1338362
220,66.5030053,-57.200506
221,66.7558627,-12.059491
222,66.9571685,-67.076319
223,67.4475784,-67.055521
224,67.4096061,-21.162164
226,68.2962182,5.3543204
227,68.3632771,-58.726075
228,69.0928942,-10.376089
229,69.3673189,-47.191514
230,69.5591165,-10.795848
231,69.9960026,-59.68159
232,70.1987764,27.6630253
234,70.343888,-27.138695
235,70.4752976,-8.4427681
236,70.9450084,28.9719194
237,71.0375969,28.2168791
238,71.1571217,-28.165101
239,71.6236264,18.4608627
240,72.508206,-55.211205
242,72.9229684,-3.8093435
243,72.9334041,-58.183432
244,73.019859,49.5457929
245,73.3572496,4.0616296
246,73.6787366,-43.23965
247,73.9954591,-75.54118
249,74.9836909,27.1005948
250,74.9867197,35.048438
252,75.5377011,3.5305335
254,75.7426167,22.9977161
256,76.1427963,-73.824242
257,76.3514606,-67.5765
258,76.4405341,-23.853913
259,76.9840357,67.623431
260,77.0821115,17.3633468
261,77.6897199,16.4994853
262,77.9908483,-18.493895
263,78.3184305,66.4639674
265,78.8323095,18.9143812
266,79.0475231,-0.1497602
267,79.0946865,19.4531489
268,79.0883956,-10.561507
269,79.8992349,-32.657752
270,79.957179,-45.778844
272,80.2558208,-25.362564
273,80.7415878,-36.458572
274,81.0287884,-12.169133
276,81.2770931,-23.636329
277,81.3254586,-46.005628
279,81.6136329,-21.286577
280,82.0084974,-39.579099
282,82.7350444,13.532022
285,83.2396389,13.752513
286,83.4589902,-13.355151
291,83.8838553,40.1877323
296,84.976174,-28.665556
301,85.887329,-27.651423
302,86.0003568,-43.424133
303,86.0940233,59.1266776
304,86.8120871,50.6403706
305,87.1184332,-47.758755
306,87.6690369,-32.271198
308,88.0474074,-7.456243
309,88.1173509,59.476937
310,88.7233595,46.4393815
311,88.8783436,39.8136407
313,89.5085623,-38.334563
314,89.9474604,-50.447783
315,90.1671369,0.1051279
316,90.5436358,28.472074
317,90.6582872,65.3712345
318,91.4540046,-27.911134
319,91.4218863,-86.631625
320,92.5272683,-62.720088
321,92.1613084,-62.787855
323,93.1121548,-46.788457
325,93.901482,71.0374823
327,95.7820766,-64.605747
328,95.8963462,64.7601502
329,95.9398061,-60.979009
330,95.943403,-32.216489
333,96.6125745,7.4579986
334,96.7441432,-37.099596
335,98.1965553,63.6737054
337,97.6064767,63.6781298
338,98.5148433,-74.777127
340,98.9438314,-75.27132
342,100.048706,-25.895283
343,100.056201,-47.692985
344,100.158416,-43.355711
345,100.32509,32.8254925
346,101.610847,53.0755464
347,103.051357,74.4269881
348,103.642446,7.0558123
349,103.956358,40.000323
350,104.049733,-49.330559
353,104.794481,24.0278423
354,105.292606,-32.581379
357,106.804549,64.5997172
358,107.180242,-46.71363
359,107.302151,-15.450997
360,107.308761,-36.02276
361,107.625273,59.1389942
362,108.516037,35.279275
363,108.562843,45.6988517
364,108.654098,-25.290303
366,109.502507,44.0908778
367,110.971135,-8.1039597
368,111.460984,-0.915716
369,111.405258,29.9541631
370,111.609736,-35.906073
371,111.647254,37.0007681
372,111.837717,-24.108984
376,113.28835,45.9184102
377,113.36163,51.8988706
378,114.2376,58.770414
379,114.936103,-31.71737
380,115.288365,-54.796045
381,115.75577,80.4405834
382,115.636733,49.8096907
383,115.673761,65.1770973
384,115.811371,-25.764017
385,116.038012,29.2474598
387,116.607792,25.8173101
389,116.871125,60.9335669
390,116.909786,-73.431417
394,118.074353,19.595099
395,118.184184,45.9493009
397,119.081748,-41.628372
398,119.92425,-38.732232
399,119.972717,23.3900988
400,120.087402,26.6135066
402,120.491537,-49.778437
403,120.864087,8.6978678
404,121.024381,5.1138525
405,121.193273,10.7766819
406,121.22077,-1.1466362
407,121.325582,61.739932
408,121.920822,39.0042387
409,122.74436,76.0451306
410,123.058378,-40.05667
411,123.605559,4.342468
412,124.454971,2.8498324
413,124.561126,1.3742156
414,124.740534,-22.87672
416,125.754538,-4.9348747
418,127.427808,41.9102402
419,127.568931,-67.424804
420,128.105608,37.1267294
423,129.628211,-35.992598
425,129.960768,-12.242866
426,130.009822,29.8173889
428,130.351496,70.8950594
429,130.523224,7.990427
430,130.937441,35.828428
431,131.339047,-35.506724
432,131.327119,14.3427968
433,133.621953,-8.4076316
434,133.802422,64.395949
435,133.822757,-28.905933
436,133.908303,78.2233042
437,134.877022,44.9139583
439,135.493352,60.1517402
440,135.664435,-68.226803
441,135.655479,-48.226054
442,135.928708,-74.238058
443,136.153986,55.6007443
445,137.316469,3.911887
446,137.87502,45.4682938
447,139.039023,-62.324889
448,139.363378,-64.940846
449,139.608341,16.3054895
450,139.980611,55.3603187
451,139.991483,37.1910366
453,140.192737,-8.056097
454,140.912019,-21.596422
455,140.929146,22.9090576
456,140.97389,-31.691941
457,141.573758,-84.359331
458,141.303546,52.2862175
459,141.448096,69.4648486
460,141.513624,12.7343914
461,141.827103,23.0200837
463,142.407832,62.5440626
465,143.681469,-21.927785
466,143.862871,26.2860216
467,143.964992,61.353256
468,144.026164,-65.809382
470,145.519944,23.6852767
471,146.424767,-14.326305
472,146.917204,-30.948887
473,146.938095,7.422391
474,147.441449,73.2397227
475,147.979284,-6.8229214
476,148.085244,-62.543231
477,148.888451,69.0652157
480,149.873097,-22.826311
481,149.982694,13.0438534
482,149.927686,-31.216246
483,150.456343,28.7858251
484,150.490793,55.6798305
485,150.848342,-37.395825
486,151.480741,-23.056905
487,151.807029,65.5836441
488,152.202399,-9.9140838
489,152.45081,-42.811238
492,153.332895,-35.982637
493,154.320079,-4.0821358
494,155.262884,-2.6118136
495,154.994136,-2.5767385
496,155.417701,-3.4538155
497,155.877395,19.8650946
498,157.44,-38.348563
499,157.846338,-42.060602
500,157.827182,50.8932988
501,157.976326,-14.280935
502,157.967011,-34.853686
503,158.185592,-28.610151
504,158.598133,73.0140098
505,158.315371,52.8716195
507,159.68817,-49.781518
509,160.093156,-46.423811
510,160.255177,-17.574904
511,160.534836,0.7016739
512,160.8603,11.0900738
513,161.035584,70.4053205
515,161.204042,38.1811801
516,161.216286,-60.419879
517,161.677106,25.9316006
518,162.097766,-25.162043
519,162.37886,22.9645525
520,162.812665,-17.008078
521,162.9061,-17.124721
522,163.137378,10.6055292
523,164.931529,65.0685285
524,165.25735,11.0470631
525,165.917783,37.4903552
526,165.906738,-23.491975
527,166.113785,38.2088302
528,166.495981,58.9460474
529,166.406764,58.8557915
530,166.6979,72.5686
531,167.699994,-28.501022
532,168.457338,9.5863043
533,168.510962,20.3883474
534,168.683285,79.7266844
535,168.833066,54.3879128
537,169.908414,51.5543278
538,170.200068,-43.26397
542,171.400624,54.3825292
543,171.702153,35.2507345
544,171.81793,19.1555729
545,172.529381,-14.824266
547,172.964776,-12.532959
548,173.145267,53.0679714
549,173.205301,10.2964743
550,173.247877,10.395067
551,174.125353,67.6178783
552,174.122228,21.5961104
553,174.175214,-60.051723
554,174.640356,25.3981165
555,174.813041,25.5993964
556,174.787326,59.1985528
557,174.71252,-23.359796
558,174.757133,-37.738611
560,174.927129,31.9094276
561,175.317344,21.9393694
562,175.546216,10.2778444
565,176.124458,36.8857196
566,176.316418,79.6815021
567,176.418604,-18.454139
568,176.38804,58.9781545
569,176.473441,-69.900486
572,176.979477,9.0413454
573,177.191389,29.6412117
574,177.327824,-4.2807703
575,177.339656,53.3370322
576,178.014787,-11.37337
577,178.159044,-5.2070095
578,178.351968,49.5191402
579,179.483894,55.4536137
580,179.719247,42.5703255
581,179.920894,-19.990164
582,180.241436,6.8064024
583,180.309806,-3.67816
584,180.6985,-53.8355
585,180.79003,44.5313083
586,181.123622,20.3163092
587,181.175478,27.9032976
588,181.180523,31.1772679
589,181.483384,49.9989665
590,181.596033,52.7110309
591,181.887193,33.8778083
592,182.308814,47.0583628
593,182.37417,43.6853081
594,182.516875,-46.607529
595,182.635714,39.4058493
596,182.684475,38.3361748
597,182.809515,-39.557422
599,183.262791,7.0389178
600,183.288784,32.5963555
601,183.265867,32.7935448
603,183.3479,-60.2547
604,183.477423,-5.5054411
605,183.574281,29.5286987
606,184.238056,-26.209168
607,184.291173,7.1916093
608,184.610475,29.81294
609,184.739585,47.3040128
610,185.341432,30.1769831
611,185.433717,75.3106378
612,185.593939,4.221048
613,185.850574,2.6790292
614,186.226924,21.3795662
615,186.444914,12.6621556
616,186.453655,33.546906
619,187.277907,2.052393
621,187.842458,57.9646192
622,187.904764,-47.96723
623,188.015088,20.1582059
624,188.050059,-42.297366
626,188.902645,-39.909347
628,189.680935,9.4601717
629,189.727488,-27.307803
630,189.776186,-16.179785
631,189.914336,-5.3441634
632,189.96528,34.9749458
633,190.435624,35.0627157
634,190.195773,-33.569904
635,190.19327,27.5649509
636,190.35732,-57.834291
638,191.666206,54.534287
639,191.991242,-58.500104
641,193.051964,-13.414765
643,193.334613,-41.635597
644,193.734771,-26.950538
645,194.046484,-5.7893621
648,195.022285,16.5374535
651,195.74517,16.4077114
652,195.997893,53.7916333
653,196.054571,-5.5515957
654,196.059678,-10.339502
655,196.364385,-49.468039
656,196.387552,-10.555379
657,196.608846,-40.41461
658,196.800383,-40.407563
659,197.27333,11.634144
660,197.680692,-55.869818
661,197.654369,-56.448508
662,197.738572,8.6273098
663,198.274063,-11.12844
664,198.453989,36.8994443
665,198.364486,36.5938771
666,198.822156,44.4071895
667,199.226235,-71.924177
669,200.248236,8.9783658
670,200.601925,-16.728445
671,201.365094,-43.01922
674,202.807622,-25.402756
675,203.018595,-5.1619911
676,203.16927,-77.844588
677,203.35877,-34.014805
678,203.665121,-23.446541
679,203.951034,2.9989335
680,203.974045,-34.295617
681,204.415755,-12.956863
682,204.566148,4.5426605
683,205.303678,-14.644506
684,205.273979,67.6722261
685,205.296431,30.37813
686,205.53491,35.654301
687,206.065266,19.5666464
688,206.329859,41.7123716
689,206.618413,19.3786891
690,206.535322,73.3481476
692,206.900028,-60.617743
693,206.82824,2.1827081
694,207.330253,-30.309494
695,207.470186,2.0792079
696,207.872949,-18.229518
697,208.264319,69.308181
698,208.367558,-11.384991
699,208.56419,-37.775882
700,208.621057,13.4659726
701,208.891044,35.3493617
702,208.973018,38.5746448
703,209.012003,18.3716668
704,209.152966,-19.529101
707,212.028271,-30.39832
710,212.686707,-42.475842
711,213.291518,-65.339092
712,213.311989,-3.2076737
713,214.208358,-11.982787
714,214.265265,-46.69478
715,214.428945,61.6979692
716,214.48613,25.7241162
717,214.498106,25.1368518
719,214.843352,-26.644752
722,215.373972,47.7901579
723,216.095509,24.6141909
726,216.854357,19.8311839
727,217.135876,42.6725043
728,217.277405,1.2850312
730,217.769934,28.287274
731,218.169627,-44.174429
733,218.467835,5.4583791
734,218.718572,48.6618715
735,219.092017,58.7942993
736,219.206747,-16.228122
737,219.799456,14.2561048
738,220.158752,53.5044489
739,220.599473,-17.253016
740,221.403531,27.0348778
741,221.617471,-64.273222
744,222.212411,-40.146051
745,223.740517,85.9163626
746,222.888099,-55.677311
747,222.303112,-55.605703
748,223.283022,25.9092005
750,223.822944,-51.570879
751,224.421579,-43.132062
752,224.781631,71.672185
753,226.004963,10.4377321
754,226.485635,3.7073107
755,226.684,3.862
756,227.161798,-49.883917
757,227.224817,-0.196969
760,227.999186,-21.317098
761,227.952883,-10.840131
762,228.021112,-10.776578
763,228.210545,-9.0999498
765,228.674908,-81.393881
766,228.763559,42.0498183
767,229.890298,65.5996057
769,230.415285,3.6247881
770,230.941135,63.6567529
771,232.493016,-13.011035
772,233.336239,-8.7005302
774,233.968338,57.9026449
776,235.599909,-14.184897
778,236.601376,69.4861775
779,236.931413,20.8712926
780,237.126292,-64.026444
783,237.103942,-13.757563
785,238.431631,23.8070547
786,238.39473,26.2448551
787,239.245325,-79.234523
792,241.346903,-72.898976
793,241.808029,48.5573385
794,241.850984,85.0296626
795,242.964155,-60.63196
797,243.488244,65.7194408
800,244.427239,32.3762175
801,244.651957,-59.454801
804,244.830464,81.0464965
807,246.472103,43.7872145
808,246.525145,-29.857395
810,246.35805,85.4949357
811,247.016911,51.7754172
815,247.451597,67.3783406
816,247.636078,39.3842185
817,247.814727,23.8827126
823,248.808344,-58.079964
828,250.834472,70.6325556
829,250.745051,39.8102748
833,252.06354,-30.584504
836,252.678141,4.6050965
837,252.834467,-59.234511
838,253.193038,-59.216953
839,253.078713,55.9055776
841,253.245401,2.4010169
842,253.312743,23.8285803
843,253.467585,39.7601783
846,254.023374,-52.061355
847,254.0699,-33.0369
862,257.246334,21.8855963
875,259.248121,-62.820563
876,259.810419,48.9803873
880,260.507973,43.2566668
882,260.836649,34.2994462
883,260.84668,36.5028348
888,262.805752,14.7155099
894,263.403652,36.5255177
896,264.368292,-29.133913
897,264.466913,-60.066598
898,264.412793,-59.940717
905,265.480238,-12.199042
906,265.506235,-60.920082
907,265.52896,18.4558532
909,265.822528,62.8392183
912,266.409439,29.1394937
923,266.872775,-22.878833
924,267.159564,68.7045251
925,266.748141,68.6085193
929,267.229743,-32.914606
935,267.982548,-60.328703
942,270.030283,66.6150908
948,270.69743,-14.915237
950,271.957963,11.3469771
960,274.048866,42.6615667
967,275.488441,64.3433924
968,275.361887,59.9225158
970,276.080758,-56.369095
971,276.045113,18.7690921
974,276.373728,72.1510813
976,276.489981,-7.1729886
978,276.635039,32.8582361
980,277.382419,48.7461722
981,277.710977,9.4783392
983,278.416301,-21.061125
984,278.764124,32.6963467
986,279.24264,-59.402291
988,279.584683,-65.427552
994,280.537518,79.7714274
995,281.224968,-62.364693
998,281.35912,72.1837268
1000,282.60455,84.3790556
1001,281.707105,84.4181331
1002,281.761632,-78.530429
1005,282.106051,-0.7764179
1007,283.206294,30.0741661
1009,283.667776,-78.898317
1013,284.002287,15.6329011
1015,284.205719,-54.708313
1016,284.282311,-78.472545
1020,285.954741,33.8447717
1021,286.358083,42.4610344
1027,288.311389,-50.18287
