target,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
1,1.23768026400037E+018,0.203241686176014,-7.15324784880831,8100,301,4,321,GALAXY,18.64164,17.00009,16.20692,15.78665,15.42985
3,1.23767862010243E+018,0.610106004099578,3.35190851253775,7717,301,6,333,GALAXY,15.15408,14.24096,13.68492,13.38434,13.15861
4,1.23767956390334E+018,0.86429798306591,27.6547745339861,7937,301,4,56,GALAXY,18.35213,16.7623,15.97842,15.45952,14.97136
6,1.23766330584826E+018,1.58140882221329,20.2029458199777,4152,301,1,159,GALAXY,14.67376,14.42015,14.01325,13.94997,13.75175
7,1.23765719036933E+018,2.29826407658192,-0.615203957770352,2728,301,2,428,GALAXY,18.57701,16.69655,15.74149,15.13214,14.76852
8,1.23767890785744E+018,2.62917301312245,10.9748474881044,7784,301,6,214,GALAXY,16.42519,16.0829,15.80441,15.04308,15.19233
10,1.23766722554436E+018,5.281495440981,-19.1676555616553,5064,301,6,183,UNKNOWN,-9999,-9999,-9999,-9999,-9999
16,1.23767886008536E+018,7.30710251598407,13.2677775877841,7773,301,5,358,STAR,15.47881,15.2626,15.34094,14.72382,14.74321
20,1.23767932392355E+018,8.63670575738011,-4.40340987574795,7881,301,5,79,GALAXY,19.42404,18.50716,17.35709,16.97169,16.75043
24,1.23767947908481E+018,9.63381526143314,23.6134086309501,7917,301,6,164,GALAXY,16.67804,14.9929,14.25199,13.85282,13.55814
25,1.23766630909982E+018,10.1662004678842,24.7609486873152,4851,301,3,93,GALAXY,19.82222,18.04235,17.13839,16.49862,16.20675
28,1.23767279504228E+018,10.720031340329,-23.540975570599,6361,301,4,169,GALAXY,15.26768,13.66724,12.91328,12.53299,12.2028
29,1.23768048302968E+018,10.7578261936904,30.2887760157762,8151,301,4,107,GALAXY,17.837,15.99317,15.20366,14.80328,14.49086
30,1.23768048302961E+018,10.6662847895718,30.2976219234994,8151,301,4,106,GALAXY,17.27954,-9999,16.2432,15.58176,15.61138
33,1.23768031069687E+018,12.196423253032,31.9569691301938,8111,301,3,149,GALAXY,15.43995,13.89517,13.12382,12.76243,12.4992
34,1.23768033218193E+018,12.8959065888361,29.4012882628028,8116,301,3,305,GALAXY,15.80262,14.54637,13.78218,13.37454,13.06105
36,1.23767916876477E+018,12.9781799414401,17.432910617835,7845,301,4,32,STAR,15.5659,15.49133,15.51158,14.93063,15.2604
39,1.23768007124661E+018,13.7171653801057,25.427500845194,8055,301,5,60,STAR,15.61105,15.63873,15.56661,15.03783,15.34774
43,1.23768031069792E+018,14.972004828235,31.8270062807156,8111,301,3,165,GALAXY,16.20517,15.52961,14.91516,14.80422,14.64488
45,1.23767943398831E+018,15.3516265486867,-3.1444896351034,7907,301,2,174,GALAXY,17.03369,16.16867,15.52621,14.98208,14.76849
53,1.23767880262084E+018,16.6886135863472,6.63384665591051,7760,301,2,63,GALAXY,17.04562,15.35116,14.69684,14.29253,13.94948
57,1.23767886062643E+018,17.2202989088116,13.3372243014162,7773,301,6,422,GALAXY,17.32298,15.67049,14.95047,14.45389,14.13133
59,1.23766609113003E+018,18.3445552090468,25.3147927794487,4800,301,5,90,STAR,20.56185,19.91538,19.11293,18.58348,18.2179
60,1.23767886062695E+018,18.4626595042252,13.2717083656834,7773,301,6,430,GALAXY,15.91578,15.11084,14.91949,14.39678,14.17014
64,1.23768031016256E+018,19.0616767134361,31.0337846648349,8111,301,2,188,GALAXY,15.79808,13.81096,12.78506,12.23016,11.81386
71,1.23766621461558E+018,20.7860305953202,34.3468424461657,4829,301,3,170,GALAXY,18.81584,18.45562,17.97849,17.66647,17.43484
74,1.23766621407851E+018,21.1116917791398,33.7994867370521,4829,301,2,167,GALAXY,15.0841,13.71676,12.96744,13.36961,12.2932
75,1.2376662140791E+018,21.4830769675318,35.1769190400076,4829,301,2,176,STAR,18.1777,16.98253,16.04398,15.80923,14.9648
76,1.23764992111595E+018,21.4919270814192,15.3038084040882,1035,301,6,104,GALAXY,17.9309,17.64742,17.07886,16.30973,16.35901
77,1.23767946028981E+018,21.8855029805779,19.1788326581648,7913,301,3,95,GALAXY,15.11072,13.89177,13.31395,13.01858,12.75572
79,1.2376791682317E+018,22.1018060169711,16.4592859812848,7845,301,3,90,GALAXY,16.58345,15.13008,14.43718,13.96323,13.60489
